HospitalID,name,mon_start,tue_start,wed_start,thu_start,fri_start,sat_start,sun_start,hol_start,mon_end,tue_end,wed_end,thu_end,fri_end,sat_end,sun_end,hol_end,businessHours
740,노아동물병원,570,570,570,570,570,570,0,570,1140,1140,1140,1140,1140,930,0,930,"평일 09:30~19:00 / 토,공휴일 09:30~15:30"
741,VIP동물의료센터 동대문점,600,600,600,600,600,600,600,600,1140,1140,1140,1140,1140,1140,1140,1140,일반진료 매일 10:00~19:00/ 야간진료 19:00~24:00/ 심야응급 22:00~09:00(일요일제외) / 일요일 10:00~19:00
742,오라고동물병원,570,570,570,570,570,570,0,0,1140,1140,1140,1140,1140,1020,0,0,평일 09:30~19:00 / 토요일 09:30~17:00
743,송파데일리동물병원,600,600,600,600,600,600,600,600,1260,1260,1260,1260,1260,1260,1140,1260,월~토 10:00~21:00/일 10:00~19:00/공휴일 10:00~21:00
744,호 동물병원,600,600,600,600,600,600,0,600,1140,1140,1140,1140,1140,1080,0,1080,"평일 10:00~19:00(전화예약시 20:00)/토,공휴일 10:00~18:00"
745,문정탑동물병원,600,600,600,600,600,600,0,600,1140,1140,1140,1140,1140,1020,0,1020,"평일 10:00~19:00/토,공휴일 10:00~17:00"
746,행복한우리아이동물병원,540,540,540,540,540,0,0,0,1260,1260,1260,1260,1260,0,0,0,평일 09:00~21:00
747,김미경동물병원,600,600,600,600,600,600,600,0,1260,1260,1260,1260,1260,1260,1050,0,"평일,토요일 10:00~21:00 / 일요일 10:00~17:30"
748,쿨펫동물병원 빅마켓금천점,660,660,660,660,660,660,660,660,1200,1200,1200,1200,1200,1200,1200,1200,매일 10:00~22:00 (진료 11:00~20:00)
749,LK동물병원,630,630,630,630,630,630,630,0,1200,1200,1200,1200,1200,1080,1080,0,평일 10:30~20:00/주말 10:30~18:00
750,애니케어동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1080,0,0,평일 10:00~20:00 / 토요일 10:00~18:00
751,빛가온동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1140,0,0,평일 10:00~20:00 / 토요일 10:00~19:00
752,날으는동물병원,570,570,570,570,570,0,630,630,1170,1170,1170,1170,1170,0,990,990,"평일 09:30~19:30 / 일,공휴일 10:30~16:30"
753,닥터아이펫 동물병원,600,600,600,600,600,600,600,600,1140,1140,1140,1140,1140,1140,1140,1140,매일 10:00~19:00(19시 이후는 예약진료만 가능)/일요일 10:00~19:00
754,벨라동물병원,570,570,570,570,570,570,0,600,1170,1170,1170,1170,1170,1140,0,720,평일 09:30~19:30/토 09:30~19:00/공휴일 10:00~12:00(예약진료)
755,서교동물병원,570,570,570,570,570,570,570,570,1230,1230,1230,1230,1230,1230,1230,1230,매일 09:30~20:30
756,캥거루동물병원,600,600,600,600,600,600,0,0,1110,1110,1110,1110,1110,1020,0,0,평일 10:00~18:30/토 10:00~17:00
757,둘레길동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1080,0,0,평일 10:00~20:00/토 10:00~18:00
758,에버펫 동물병원,600,600,600,600,600,600,600,0,1260,1260,1260,1260,1260,1200,1200,0,평일 10:00~21:00/주말 10:00~20:00
759,24시 SNC 동물메디컬센터,600,600,600,600,600,600,600,600,1260,1260,1260,1260,1260,1260,1260,1260,매일 00:00~24:00/주간진료 10:00~21:00/야간진료 22:00~09:00
760,기린동물병원,600,600,600,600,600,600,0,0,1110,1110,1110,1110,1110,810,0,0,평일 10:00~18:30/토요일 10:00~13:30
761,방주동물의료센터,570,570,570,570,570,570,0,570,1170,1170,1170,1170,1170,1140,0,1140,"평일 09:30~19:30/토,공휴일 09:30~19:00"
762,행복이있는동물병원,600,600,600,600,600,600,0,0,1140,1140,1140,1140,1140,1080,0,0,평일 10:00~19:00/토 10:00~18:00
